42.50729,1.53414,AD,Andorra,les Escaldes
42.50779,1.52109,AD,Andorra,Andorra la Vella
25.56473,55.55517,AE,United Arab Emirates,Umm al Qaywayn
25.78953,55.9432,AE,United Arab Emirates,Ras al-Khaimah
25.33132,56.34199,AE,United Arab Emirates,Khawr Fakkan
25.0657,55.17128,AE,United Arab Emirates,Dubai
25.59246,56.26176,AE,United Arab Emirates,Dibba Al-Fujairah
25.61955,56.27291,AE,United Arab Emirates,Dibba Al-Hisn
25.33737,55.41206,AE,United Arab Emirates,Sharjah
24.11028,52.73056,AE,United Arab Emirates,Ar Ruways
25.11641,56.34141,AE,United Arab Emirates,Al Fujayrah
24.19167,55.76056,AE,United Arab Emirates,Al Ain
25.41111,55.43504,AE,United Arab Emirates,Ajman
25.28812,55.88157,AE,United Arab Emirates,Adh Dhayd
24.46667,54.36667,AE,United Arab Emirates,Abu Dhabi
30.95962,61.86037,AF,Afghanistan,Zaranj
36.73605,69.53451,AF,Afghanistan,Taloqan
33.30294,62.1474,AF,Afghanistan,Shindand
36.66757,65.7529,AF,Afghanistan,Shibirghan
34.10737,64.3052,AF,Afghanistan,Shahrak
36.21544,65.93249,AF,Afghanistan,Sar-e Pul
35.84972,66.43694,AF,Afghanistan,Sang-e Charak
36.26468,68.01551,AF,Afghanistan,Aibak
37.12604,69.83045,AF,Afghanistan,Rustaq
37.41853,66.04358,AF,Afghanistan,Qarqin
37.21959,68.7802,AF,Afghanistan,Qarawul
35.94458,68.71512,AF,Afghanistan,Pul-e Khumri
34.58787,68.95091,AF,Afghanistan,Paghman
36.0649,69.13343,AF,Afghanistan,Nahrin
35.92139,64.78361,AF,Afghanistan,Maymana
34.67139,70.20944,AF,Afghanistan,Mehtar Lam
36.70904,67.11087,AF,Afghanistan,Mazar-e Sharif
31.59382,64.37161,AF,Afghanistan,Lashkar Gah
33.29565,61.95221,AF,Afghanistan,Kushk
36.72895,68.857,AF,Afghanistan,Kunduz
33.33951,69.92041,AF,Afghanistan,Khost
36.69736,67.69826,AF,Afghanistan,Khulm
31.52919,62.79055,AF,Afghanistan,Khash
36.6825,69.11556,AF,Afghanistan,Khanabad
34.48108,62.5863,AF,Afghanistan,Karukh
